company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
ActionX,Mobile,AOL Ventures,venture,A,2013-09-16,3e+06
ActionX,Mobile,Lerer Hippeau Ventures,seed,NA,2012-03-01,2e+06
ActionX,Mobile,Lerer Hippeau Ventures,venture,A,2013-09-16,3e+06
ActionX,Mobile,SoftBank Capital,seed,NA,2012-03-01,2e+06
ActionX,Mobile,SoftBank Capital,venture,A,2013-09-16,3e+06
ActionX,Mobile,Verizon Ventures,venture,A,2013-09-16,3e+06
ActiveTrak,Mobile Security|Security|Software,ProtectCELL,angel,NA,2010-03-09,5e+05
Actix,Mobile,Summit Partners,undisclosed,NA,2005-03-02,NA
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,500 Startups,angel,NA,2012-10-18,NA
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,500 Startups,venture,A,2013-10-21,2e+06
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,Founder Collective,venture,A,2013-10-21,2e+06
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,Haystack,venture,A,2013-10-21,2e+06
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,Miramar Venture Partners,venture,A,2013-10-21,2e+06
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,TenOneTen Ventures,venture,A,2013-10-21,2e+06
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,Venrock,venture,A,2013-10-21,2e+06
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,David Cohen,angel,NA,2012-10-18,NA
Ad Hoc Labs,Contact Management|iPhone|Mobile|Telephony,David Frankel,venture,A,2013-10-21,2e+06
Ad Infuse,Advertising|Mobile,SoftBank Capital,venture,B,2008-01-23,1.2e+07
Ad Infuse,Advertising|Mobile,Storm Ventures,seed,NA,2005-01-01,6e+05
Ad Infuse,Advertising|Mobile,Storm Ventures,venture,A,2006-06-01,5e+06
Ad Infuse,Advertising|Mobile,Storm Ventures,venture,B,2008-01-23,1.2e+07
AdaptiveMobile,Mobile|Security|Telecommunications,Intel Capital,venture,A,2006-04-20,5670000
AdaptiveMobile,Mobile|Security|Telecommunications,Intel Capital,venture,B,2007-06-09,1.4e+07
Adbrain,Advertising|Enterprise Software|Marketing Automation|Mobile,Nihal Mehta,seed,NA,2013-05-01,1500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,IVP,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,New Enterprise Associates,venture,C,2008-05-20,1.8e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,New Enterprise Associates,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Novak Biddle Venture Partners,venture,A,2006-05-01,2500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Novak Biddle Venture Partners,venture,C,2008-05-20,1.8e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Novak Biddle Venture Partners,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Novak Biddle Venture Partners,venture,B,2007-02-01,5500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Revolution LLC,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Revolution LLC,venture,B,2007-02-01,5500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,SharesPost Investment Management,secondary_market,NA,2014-09-01,NA
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Signatures Capital,venture,B,2007-07-27,1e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,SV Angel,venture,B,2007-07-27,1e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,ZG Ventures,venture,A,2006-05-01,2500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,ZG Ventures,venture,B,2007-02-01,5500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Bobby Yazdani,venture,B,2007-07-27,1e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Mark Jung,venture,B,2007-02-01,5500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Nigel Morris,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Ron Conway,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Steve Case,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Steve Case,venture,B,2007-02-01,5500000
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Ted Leonsis,venture,D,2011-05-10,2e+07
AddThis,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,Ted Leonsis,venture,B,2007-02-01,5500000
Adelphic,Advertising|Media|Mobile|Optimization,Blue Chip Venture Company,venture,B,2014-12-17,1.1e+07
Adelphic,Advertising|Media|Mobile|Optimization,Google Ventures,venture,B,2014-12-17,1.1e+07
Adelphic,Advertising|Media|Mobile|Optimization,Google Ventures,venture,A,2012-12-04,1e+07
Adelphic,Advertising|Media|Mobile|Optimization,Matrix Partners,venture,B,2014-12-17,1.1e+07
Adelphic,Advertising|Media|Mobile|Optimization,Matrix Partners,seed,NA,2012-03-13,2e+06
Adelphic,Advertising|Media|Mobile|Optimization,Matrix Partners,venture,A,2012-12-04,1e+07
AdHawk,Analytics|Mobile|Technology,Techstars Ventures,seed,NA,2015-11-18,1400000
AdHawk,Analytics|Mobile|Technology,Matchstick Ventures,seed,NA,2015-11-18,1400000
AdHawk,Analytics|Mobile|Technology,eonCapital,seed,NA,2015-11-18,1400000
AdHawk,Analytics|Mobile|Technology,Techstars,seed,NA,2015-11-18,1400000
AdHawk,Analytics|Mobile|Technology,Zelkova Ventures,seed,NA,2015-11-18,1400000
AdHawk,Analytics|Mobile|Technology,Rich Greenfield,seed,NA,2015-11-18,1400000
Adinch Inc,Advertising|Mobile,Plug & Play Ventures,venture,A,2014-09-03,1600000
Adknowledge,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,Bank of America,venture,B,2011-01-12,2e+08
Adknowledge,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,JMI Equity,venture,B,2011-01-12,2e+08
Adknowledge,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,Nokia Growth Partners,venture,B,2011-01-12,2e+08
